"Name","Team","Pos","GP","G","A","P","+/-","PIM","PPP","SHp","Ht","GA","TA","SOG","S%","SB","ATOI","APPT","APKT","FO%"
"Blaine Staples","Canadiens","LD",35,0,8,8,4,4,0,0,63,16,27,43,"0",54,"14:56","0:00","1:49","0"
"Travis Dermott","Maple Leafs","LD/RD",33,0,8,8,-6,8,0,0,38,9,12,34,"0",29,"12:36","0:00","0:12","0"
"Will Borgen","Rangers","RD",34,0,8,8,0,12,0,0,54,18,27,27,"0",55,"14:51","0:00","1:54","0"
"Owen Power","Blues","LD",32,0,8,8,-4,14,1,0,109,20,46,70,"0",74,"21:58","0:49","2:36","0"
"Anton Lundell","Penguins","C",34,3,4,7,-6,4,0,0,66,4,18,34,"9",90,"14:40","0:00","2:28","44"
"Ty Dellandrea","Kings","C",35,3,4,7,-8,10,0,0,43,5,0,34,"9",20,"11:32","0:00","0:00","51"
"Alexander Pedersen","Penguins","RW/LW",34,3,4,7,-4,12,0,0,47,13,33,57,"5",72,"13:42","0:00","1:46","0"
"Alexander Alexeyev","Flyers","LD",34,3,4,7,-4,22,0,0,65,21,31,51,"6",79,"16:10","0:06","2:29","0"
"Eeli Tolvanen","Hurricanes","LW",26,3,4,7,-10,33,0,0,40,1,2,18,"17",6,"10:25","0:00","0:00","0"
"Mattias Ekholm","Bruins","LD",33,2,5,7,7,2,0,0,44,13,31,28,"7",48,"14:16","0:00","1:41","0"
"Kevin Bahl","Stars","LD",32,2,5,7,7,6,0,0,85,13,27,49,"4",58,"15:46","0:02","2:09","0"
"Dawson Mercer","Oilers","C",33,2,5,7,-23,6,0,0,56,7,6,32,"6",15,"11:55","0:02","0:00","0"
"AJ Toews","Sabres","C/RW",21,2,5,7,-4,8,1,0,20,9,2,31,"6",9,"13:39","1:44","0:00","0"
"Josh Brook","Red Wings","RD",34,2,5,7,-15,8,1,0,39,10,14,24,"8",53,"17:10","0:08","2:38","0"
"Seth Jones","Avalanche","RD",33,2,5,7,1,16,1,0,77,27,47,46,"4",107,"26:16","1:27","1:49","0"
"Olen Zellweger","Coyotes","LD",35,1,6,7,14,4,0,0,26,6,4,44,"2",27,"12:29","0:00","0:08","0"
"Ryan Ellis","Jets","RD",32,1,6,7,-4,4,0,0,52,13,33,55,"2",64,"26:12","0:03","2:09","0"
"Chris Tanev","Predators","RD",36,1,6,7,-2,6,0,0,35,15,27,37,"3",36,"14:19","0:00","0:16","0"
"Rasmus Asplund","Sabres","C/LW",35,1,6,7,2,10,0,0,49,7,4,34,"3",57,"13:21","0:00","1:42","38"
"Reilly Smith","Lightning","RW",35,1,6,7,-24,10,2,0,55,15,11,38,"3",47,"13:59","0:54","1:17","0"
"Slater Koekkoek","Lightning","LD/RD",35,1,6,7,-9,12,0,0,61,16,14,42,"2",65,"19:59","0:06","2:44","0"
"Danny DeKeyser","Flames","LD",32,1,6,7,1,14,4,0,42,22,39,51,"2",63,"18:56","0:58","2:44","0"
"Scott Mayfield","Oilers","RD",33,1,6,7,5,22,0,0,79,14,23,36,"3",45,"15:48","0:05","1:40","0"
"Radko Gudas","Flyers","RD",31,1,6,7,4,35,0,0,49,13,9,23,"4",65,"15:19","0:01","2:05","0"
"Trystan Sacco","Flyers","LD/RD",34,0,7,7,-5,4,0,0,34,25,29,33,"0",45,"15:20","0:00","1:52","0"
"Dylan DeMelo","Sharks","RD/LD",34,0,7,7,3,12,0,0,46,13,20,19,"0",56,"15:01","0:00","2:09","0"
"Braden Schneider","Ducks","RD",35,0,7,7,2,12,0,1,51,19,42,23,"0",58,"15:25","0:00","2:12","0"
"Joel Armia","Coyotes","RW",21,6,0,6,0,10,0,0,30,4,5,28,"21",14,"10:54","0:00","0:00","0"
"Sacha Cox","Capitals","RW/LW",34,5,1,6,-13,6,0,0,76,36,16,50,"10",47,"14:24","0:00","2:05","0"
"Nicolas Roy","Bruins","C",18,5,1,6,8,8,0,0,44,1,1,14,"36",14,"11:35","0:00","0:00","61"
"Jakub Voracek","Capitals","RW/LW",34,5,1,6,-12,10,0,0,59,4,4,31,"16",18,"10:48","0:00","0:00","0"
"Luke Kunin","Wild","C/RW",35,3,3,6,-10,6,0,0,85,10,14,34,"9",77,"13:45","0:00","2:11","48"
"Michael Rasmussen","Flames","C",32,3,3,6,-5,12,0,0,88,12,2,32,"9",8,"11:03","0:00","0:00","0"
"Morgan Frost","Avalanche","C",33,3,3,6,-11,20,0,0,25,1,0,31,"10",27,"12:38","0:02","0:01","42"
"Tony DeAngelo","Oilers","RD",33,2,4,6,-14,10,0,0,32,5,14,22,"9",41,"14:47","0:00","0:19","0"
"Jalen Sabo","Wild","LW/LD",35,2,4,6,-13,14,0,0,72,13,10,25,"8",70,"13:42","0:01","2:01","0"
"Kynan Renwick","Blues","C",32,2,4,6,-4,20,0,0,57,12,50,44,"5",85,"14:44","0:00","2:39","42"
"Klim Kostin","Predators","C",8,1,5,6,1,6,2,0,26,2,2,12,"8",9,"18:27","3:06","1:22","34"
"Alexander Shalapov","Sabres","LD/RD",35,1,5,6,-6,8,0,0,74,21,24,26,"4",61,"14:19","0:00","1:44","0"
"Samuel Poulin","Islanders","C",34,1,5,6,-19,8,0,0,49,4,0,29,"3",28,"13:11","0:02","1:01","46"
"J.J Moser","Coyotes","LD",35,1,5,6,-11,10,0,0,47,20,6,49,"2",44,"15:38","0:01","1:39","0"
"Ethan Bear","Wild","RD",35,0,6,6,-11,6,0,0,81,11,14,39,"0",69,"18:22","0:04","2:42","0"
"Shea Weber","Blues","RD",32,0,6,6,-21,10,0,0,79,16,41,38,"0",89,"20:46","0:00","2:39","0"
"Niklas Hjalmarsson","Senators","LD/RD",33,0,6,6,-22,10,0,0,34,12,34,29,"0",52,"16:25","0:00","1:41","0"
"Nicolas Meloche","Avalanche","RD",33,0,6,6,-18,12,0,0,55,10,9,22,"0",36,"13:54","0:00","0:11","0"
"Tyler Myers","Predators","RD",36,0,6,6,-22,14,0,0,94,16,16,39,"0",87,"19:28","0:15","2:25","0"
"Yanis Huber","Maple Leafs","LD/RD",33,0,6,6,4,16,1,0,67,17,28,66,"0",64,"18:12","1:14","2:05","0"
"Nikita Zadorov","Avalanche","LD",33,0,6,6,-14,18,0,0,74,17,11,29,"0",52,"13:23","0:00","0:01","0"
"Alexander Romanov","Panthers","LD",35,0,6,6,-11,20,0,0,61,25,47,33,"0",86,"17:15","0:01","2:37","0"
"Riley Sheahan","Flames","C/LW",32,3,2,5,-10,32,0,0,59,9,15,26,"12",64,"14:44","0:01","2:22","45"
"Kaiden Guhle","Panthers","LD",35,2,3,5,-11,4,0,0,39,16,38,42,"5",53,"15:17","0:00","2:06","0"
"Matthew Savoie","Flyers","RW/C",34,2,3,5,-13,6,0,0,25,3,2,54,"4",12,"11:47","0:14","0:00","33"
"Shane Pinto","Flyers","C/RW",34,2,3,5,-17,9,0,0,63,6,15,39,"5",39,"14:00","0:00","1:41","50"
"Derick Kavanagh","Capitals","LD",34,1,4,5,-13,4,0,0,61,35,32,34,"3",67,"16:08","0:00","3:08","0"
"Brian Dumoulin","Canucks","LD",33,1,4,5,-4,6,0,1,62,13,25,37,"3",60,"15:29","0:00","2:45","0"
"Svatopluk Fucik","Sharks","LD",34,1,4,5,2,10,0,0,112,16,43,74,"1",75,"23:52","1:17","1:57","0"
"Rylie Switzer","Capitals","RW/LW",34,1,4,5,-13,12,0,0,94,19,25,43,"2",7,"10:37","0:00","0:00","0"
"Mathew Dumba","Stars","RD/LD",32,1,4,5,13,26,0,0,64,13,19,50,"2",56,"20:44","0:07","0:50","0"
"Binne Trudel","Devils","LD",33,0,5,5,-3,6,0,0,61,18,26,44,"0",50,"14:25","0:00","1:45","0"
"Dylan Holloway","Flyers","LW",34,0,5,5,-10,6,0,0,42,8,14,33,"0",41,"14:28","0:00","1:49","0"
"Adam Larsson","Kings","RD",35,0,5,5,1,8,0,0,37,12,26,19,"0",69,"15:51","0:00","2:39","0"
"Lian Bichsel","Flames","LD",32,0,5,5,-9,14,0,0,61,17,48,38,"0",55,"16:35","0:02","2:09","0"
"Matthew Robertson","Flames","LD",32,0,5,5,-1,24,0,0,52,11,29,39,"0",48,"14:13","0:00","0:13","0"
"Daniil But","Lightning","LW/RW",15,3,1,4,-8,4,0,0,35,3,0,25,"12",2,"11:22","0:00","0:02","0"
"Ryan Donato","Wild","C/LW",22,2,2,4,-9,8,0,0,51,2,0,23,"9",23,"13:23","0:00","1:06","47"
"Kyle Palmieri","Wild","RW",35,2,2,4,-12,8,0,0,59,8,11,45,"4",65,"15:22","0:37","2:08","20"
"Dallas McCabe","Grand Rapids","LW",21,1,3,4,-9,4,0,0,35,3,1,14,"7",41,"14:28","0:01","2:39","0"
"Jackson Blake","Flames","RW",32,1,3,4,-6,8,0,0,31,7,10,27,"4",17,"10:57","0:00","0:00","0"
"Leland Lamontagne","Rochester","RW/LW",14,1,3,4,-6,22,0,0,22,6,0,25,"4",7,"13:58","1:23","0:00","0"
"Simon Edvinsson","Predators","LD",13,0,4,4,-4,0,3,0,31,4,3,23,"0",20,"14:50","1:18","0:09","0"
"Jacques Stacey","Flames","RD",32,0,4,4,1,6,0,0,23,7,9,23,"0",26,"13:32","0:00","0:20","0"
"Torsten Kovacs","Penguins","LD/RD",34,0,4,4,-2,6,0,0,54,19,23,27,"0",72,"15:00","0:00","2:19","0"
"Mattias Samuelsson","Avalanche","LD",33,0,4,4,-7,6,0,0,61,17,35,22,"0",66,"16:27","0:00","2:28","0"
"Marino Bowness","Blackhawks","LD",35,0,4,4,-5,8,0,0,67,23,27,31,"0",52,"15:02","0:00","1:56","0"
"Rafael Ivanov","Wild","LW/RW",35,0,4,4,-14,8,0,0,34,15,0,27,"0",15,"10:56","0:01","0:00","0"
"Andrew Peeke","Blue Jackets","RD",35,0,4,4,-3,10,0,0,63,11,21,28,"0",54,"15:27","0:00","1:53","0"
"Nicolas Hague","Wild","LD",28,0,4,4,-10,10,0,0,56,12,24,21,"0",44,"15:57","0:00","2:02","0"
"Henri Jokiharju","Jets","RD",32,0,4,4,4,12,0,0,42,8,19,34,"0",24,"12:54","0:00","0:04","0"
